rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,mapa_Summit,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5cffd4e0-098c-4a9d-826d-346791abdf9a,18.0,9.0,10.0,13.0,1.0,278.647,2.0,0.0,1.0,13.0,4.0,0.0,1.0,3.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,93cd641a-6c78-4fce-8a94-9736f598c85e,25.0,3.0,13.0,14.0,1.0,298.167,5.0,2.0,2.0,13.0,11.0,0.0,0.0,4.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,3e0feb6c-3c1b-4492-816e-6ee257b9b857,23.0,7.0,16.0,18.0,1.0,288.545,2.0,2.0,0.0,9.0,13.0,1.0,0.0,4.0
8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1cb4e0e0-cbb9-4e01-8533-a6672d0ef868,20.0,5.0,18.0,16.0,1.0,267.696,3.0,4.0,0.0,10.0,13.0,1.0,0.0,4.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,d5e530bc-afa0-49b7-9a32-a4040488ed41,9.0,9.0,15.0,10.0,1.0,149.45,1.0,1.0,1.0,13.0,7.0,0.0,0.0,4.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,34a94e8b-d361-47c7-af9f-d26cae9d3550,9.0,4.0,17.0,10.0,1.0,136.571,2.0,1.0,0.0,8.0,13.0,0.0,0.0,4.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,906cdfe8-b5ce-4092-98b4-8f9a945e9b18,10.0,3.0,18.0,8.0,1.0,131.957,1.0,3.0,0.0,10.0,13.0,0.0,0.0,4.0
8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,372dc51c-2f94-4010-8d36-61dc3d0d2eba,17.0,5.0,16.0,11.0,1.0,202.958,1.0,1.0,1.0,13.0,11.0,0.0,0.0,4.0
8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,f56f8f9d-9064-4e23-a574-246d0871494b,24.0,1.0,16.0,9.0,1.0,255.375,7.0,2.0,0.0,11.0,13.0,0.0,0.0,4.0
8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,afa61154-aab1-4c5a-8d0e-21533aaf3bcd,20.0,6.0,12.0,15.0,1.0,268.238,2.0,0.0,1.0,13.0,8.0,0.0,0.0,4.0
8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8ccb7f8b-0b82-46c2-aed1-0b432331d9ad,8.0,3.0,16.0,5.0,1.0,162.25,3.0,5.0,0.0,3.0,13.0,0.0,1.0,3.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7c930962-e1b7-419a-b562-24c08052944d,14.0,4.0,20.0,13.0,1.0,161.393,1.0,3.0,1.0,15.0,13.0,1.0,1.0,3.0
