id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
f73585e4-0174-4cce-abcf-55cce531c8a6,Split,10,3,13,5,Bronze,1.0,170.118,0,1,0,4,13,1,0,4
b531c1d0-478e-4936-ab54-186c40c8d309,Breeze,11,2,14,3,Bronze,1.0,183.778,1,2,0,5,13,1,0,4
7ee1c306-6c94-4022-8200-bf17d9572003,Sunset,23,3,19,18,Bronze,1.0,260.208,2,2,0,11,13,1,0,4
24faa953-16fa-4794-af7d-d0a6fb596192,Ascent,6,6,10,5,Bronze,1.0,90.125,1,0,1,13,3,1,0,4
95bdacc1-47e8-405a-9bd1-1d1d62f16035,Haven,14,5,13,12,Bronze,1.0,184.583,3,2,0,11,13,0,3,1
58d9a0f9-c383-47eb-93b3-a594abef0265,Summit,21,3,18,9,Bronze,1.0,247.417,3,0,0,11,13,0,0,4
c4bff9d5-49fb-49c3-9bca-2acc90d2964a,Sunset,24,5,17,12,Bronze,1.0,349.048,2,2,0,8,13,1,0,4
e71e46e8-d080-45e1-9e6c-ae789b0ad3e5,Breeze,21,4,17,10,Bronze,1.0,233.542,4,0,0,11,13,0,0,4
174a8dd5-9d29-40cb-82fa-28924b82976d,Sunset,19,7,12,17,Bronze,1.0,268.85,1,0,1,13,7,0,0,4
cfd7fdb7-a4ad-4d8b-a62e-c744764a2fbc,Breeze,17,4,16,12,Bronze,2.0,218.25,1,1,0,7,13,0,0,4
ff37d359-ab8e-494e-8633-7f7e96292898,Ascent,11,9,15,9,Bronze,1.0,207.211,0,1,1,13,6,1,0,4
d9eeb61b-5650-4dd9-a468-bcdc749fad57,Split,18,14,13,14,Bronze,1.0,236.905,1,1,2,13,8,0,0,4
5521e7c5-2d60-4286-83de-471f8adeb13e,Ascent,18,6,15,14,Bronze,1.0,242.091,3,5,3,13,9,0,0,4
5fbc02d2-0d2d-4ec9-a465-cd4ba314bd94,Summit,17,8,17,11,Bronze,2.0,202.269,0,2,0,12,14,0,0,4
5627f4d9-a5a5-4264-879b-801f30a45b52,Lotus,18,6,17,13,Bronze,2.0,246.333,2,0,0,8,13,0,0,4
a415cff6-28b7-4d85-b690-cc67053cc6bb,Split,25,12,15,17,Bronze,2.0,363.682,7,0,1,13,9,1,0,4
64ca2a89-dd1d-4bde-b9dc-4618e336f5fc,Summit,11,3,16,7,Bronze,1.0,155.526,0,4,0,6,13,0,0,4
5003790f-b63f-4141-bf85-47ed044c9cf1,Split,9,8,13,6,Bronze,2.0,173.278,1,2,0,5,13,1,0,4
d6f2eeba-817a-4d12-b7cc-4a278b11848e,Haven,15,7,19,11,Bronze,2.0,210.0,2,2,0,9,13,1,0,4
73fb1e84-3e5e-4baf-a16f-fb3198fb8484,Breeze,17,7,22,8,Bronze,1.0,188.286,0,1,0,13,15,0,0,4
f623b31f-ad72-4825-875c-7bde9d0c5640,Ascent,17,4,9,11,Bronze,1.0,247.059,0,1,1,13,4,1,0,4
f8cc6779-c13e-4e10-8e17-a02e155e258f,Lotus,17,2,17,8,Bronze,2.0,193.273,1,1,0,9,13,0,0,4
5a0276a2-8ab0-419a-8888-a9dbc3b006f7,Lotus,13,5,18,7,Bronze,2.0,207.85,1,0,0,7,13,1,0,4
19d68633-df3d-4b43-8a95-2a9f2d862d2a,Breeze,19,4,12,10,Bronze,1.0,360.867,4,1,1,13,2,1,0,4
f57f8446-503a-428a-b4da-134437892fe3,Lotus,16,6,18,8,Bronze,1.0,171.654,1,0,1,14,12,1,0,4
607d2bf6-2fb4-456f-b147-ce999f5b66a2,Summit,10,9,17,7,Bronze,1.0,146.05,0,2,0,7,13,0,0,4
00aa6f9a-e901-4bf6-a894-46c0cd7b056f,Breeze,15,3,12,12,Bronze,1.0,195.45,3,1,1,13,7,1,0,4
21867f0e-12a1-4028-966f-a7263c96bde4,Split,22,6,17,14,Bronze,1.0,251.696,0,1,0,10,13,0,0,4
7c225960-6329-40f3-ad60-2664a6c4c016,Summit,17,2,21,17,Bronze,1.0,181.133,3,3,0,15,15,0,0,4
ecfe04a5-c8f4-4903-9eda-b5083597d598,Lotus,17,11,17,7,Bronze,2.0,213.455,0,2,1,13,9,1,0,4
d3fcf473-263a-4de0-be0f-6421e6f0c2d7,Summit,11,8,18,6,Bronze,2.0,126.826,1,2,1,13,10,0,0,4
59a7e8de-07b0-499b-9a3f-bc523fd1fbe0,Split,16,7,15,13,Bronze,2.0,218.636,0,1,2,13,9,1,0,4
62b71845-306a-444a-a7f7-2a49b2f8621e,Sunset,10,9,12,7,Bronze,2.0,190.0,4,3,3,13,2,1,0,4
71ed6eef-a797-45a0-9ade-18be7e5ebf0b,Sunset,17,5,15,10,Bronze,2.0,207.136,1,0,4,13,9,0,0,4
949477b2-08ea-4aa3-9f99-6c2c738c3d93,Lotus,20,6,9,10,Bronze,2.0,248.737,1,0,1,13,6,1,0,4
