id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
41b04834-ea45-4cce-962c-0b8bc1903f08,Summit,15,17,23,7,Bronze,1.0,147.071,1,3,0,14,14,0,0,4
174fd26e-12e8-4a0e-9d24-390ef8e64a4b,Sunset,15,8,15,10,Iron,3.0,204.292,0,1,1,13,11,1,0,4
1200e515-71c1-4606-a521-18536a19a78c,Breeze,12,9,14,10,Iron,3.0,181.05,2,2,2,13,7,0,2,2
cdaa1e3d-4f2b-4826-a979-f12029453c15,Ascent,14,3,20,8,Iron,3.0,134.321,1,1,2,14,14,1,2,2
4e57736f-3968-4f68-ba08-be7f96fae8a8,Sunset,14,6,15,10,Bronze,1.0,210.632,1,0,1,13,6,0,0,4
18d62a23-6052-4e2e-ac22-8b11e07337bc,Split,16,10,13,7,Bronze,1.0,218.087,4,3,1,13,10,0,2,2
5938b24c-9ab9-4238-9842-b645b2837c00,Breeze,15,1,7,9,Bronze,1.0,250.267,3,3,2,13,2,0,2,2
9337c122-2132-4761-990b-5e05bc49446f,Lotus,7,1,15,5,Bronze,1.0,119.167,1,2,0,5,13,0,2,2
644f118a-5385-47ec-8f0f-f24a00b55ed4,Ascent,8,2,6,5,Bronze,2.0,126.733,0,0,1,10,2,0,1,3
79d56d2f-8b2b-4877-8cf5-d2145c6cb490,Haven,9,6,12,5,Bronze,1.0,115.789,0,1,2,13,6,0,1,3
f1234974-fb25-4404-9dd5-7b73d544110d,Ascent,10,5,16,7,Bronze,2.0,184.412,2,1,0,4,13,1,1,3
5a41ac82-938c-49f8-94c8-783f4462297f,Breeze,2,1,14,3,Bronze,2.0,70.143,0,1,0,1,13,0,1,3
7cc3cd87-eb78-4ec1-8ed6-29d837d465af,Haven,12,9,18,3,Bronze,2.0,142.375,1,1,1,13,11,0,1,3
9c951266-8c41-49c8-92d4-882f1a11326c,Breeze,8,3,14,4,Bronze,2.0,185.812,0,2,0,3,13,0,0,4
5003b94c-71cb-4404-8bc1-a7387ae85ba0,Breeze,9,3,18,7,Bronze,2.0,125.636,1,4,1,13,9,0,2,2
3aae6269-db19-4a3a-b9a9-7180ff5e8d74,Ascent,11,3,18,7,Bronze,2.0,115.917,0,3,2,13,11,0,2,2
5a9293de-e4b0-48a7-b10e-9012c9a615cd,Split,9,7,12,8,Bronze,1.0,170.105,1,3,3,13,6,0,2,2
8d82536b-9bd4-4217-a092-5a9ec325e76e,Summit,10,2,17,3,Bronze,2.0,102.167,0,1,1,13,11,1,1,3
