id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
14092f1d-ae23-47f3-a352-0e2f6ee08dd9,Sunset,11,3,19,10,Diamond,2.0,178.0,4,4,0,5,13,1,1,3
cf8a1248-ffd5-4365-9ca4-8f2e40082e56,Haven,21,8,21,18,Diamond,2.0,261.5,3,3,0,12,14,1,1,3
9b48c4b5-83a6-4c84-b3b6-42e9bbca9bb4,Abyss,19,6,15,12,Diamond,2.0,249.364,3,1,0,9,13,0,1,3
008e680b-0a18-404e-a698-8fe2983d97a4,Lotus,30,4,14,21,Diamond,2.0,372.182,4,0,1,13,9,0,1,3
f311d160-8169-4f2a-9627-8bf6a39e4f63,Ascent,11,5,10,8,Diamond,1.0,187.5,1,0,1,13,3,1,1,3
286aba88-f96d-4f99-88f5-2297b7f613f5,Lotus,15,1,18,10,Diamond,1.0,208.273,3,3,0,9,13,0,1,3
992e7582-f266-43fd-b2fa-d8056e42d287,Abyss,12,7,21,10,Diamond,1.0,179.636,3,1,1,13,9,1,2,2
35beb8a6-6823-4784-a5bb-13ded1b3b999,Haven,12,4,14,8,Diamond,1.0,163.333,1,0,0,5,13,0,2,2
5c51fe3c-a363-4613-890b-7f7abf1fee19,Ascent,21,3,14,18,Diamond,1.0,234.333,4,2,1,13,11,0,1,3
4b49d695-6f21-448f-89b4-81c12d43707f,Ascent,17,1,16,9,Diamond,1.0,283.667,5,1,0,5,13,1,2,2
efb986da-c904-49a2-9503-c343bb104e1b,Haven,17,2,14,13,Diamond,1.0,209.714,0,2,1,13,8,1,2,2
c412a0eb-aeec-4924-8cee-9cdb824486fa,Lotus,16,6,18,14,Diamond,1.0,197.696,2,0,0,10,13,0,1,3
9cd9669f-039a-4dc3-9fc0-de974738108b,Split,28,3,20,23,Diamond,1.0,290.0,6,4,1,15,13,1,2,2
