id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
95bdacc1-47e8-405a-9bd1-1d1d62f16035,Haven,15,4,15,8,Bronze,1,170.333,4,0,0,11,13,1,3,1
72974e1c-a383-4dac-a63f-5e7d4b1d4b02,Split,4,1,15,5,Bronze,1,75.632,0,2,0,6,13,1,1,3
26dfbf07-2e88-4060-b8f7-d6dc6bdf2a80,Ascent,17,3,10,8,Bronze,1,237.765,2,1,1,13,4,1,1,3
0c62a57e-5595-42c6-a755-ba2eca48162a,Haven,18,4,15,10,Bronze,1,206.542,3,1,2,13,11,1,2,2
08b6c4d0-7531-4ec0-a0a0-a4cd2148cd9e,Summit,11,4,15,7,Bronze,1,192.105,2,0,0,6,13,0,1,3
f48e0023-b884-46ab-a642-a31a413a921f,Summit,10,4,15,5,Bronze,1,127.0,1,1,0,8,13,1,1,3
c61ac094-c478-491f-a64b-3c8de20930a1,Haven,21,6,14,10,Bronze,1,232.958,2,0,1,13,11,1,1,3
ded15123-6385-4c41-a2d9-9e5c643b2801,Sunset,11,6,17,7,Bronze,1,122.958,2,0,0,11,13,0,1,3
02117eb9-5ccb-4a3a-aa0b-7bde9bb6a8c3,Lotus,14,1,13,10,Bronze,1,195.526,1,2,0,6,13,1,1,3
797cd19e-b3f4-46da-8170-6af5dad9fa70,Sunset,16,4,12,5,Bronze,1,195.3,3,3,1,13,7,1,1,3
5efcffc3-9e30-4e00-b0a9-3e02d4df0f5c,Split,14,4,13,9,Bronze,1,223.944,1,0,2,13,5,1,1,3
7e3052b6-b6dd-424d-807c-026e3cf17c5c,Haven,16,4,16,12,Bronze,1,197.957,0,1,0,10,13,0,1,3
9cd49189-5d14-4756-bdf7-ce7d78c4c692,Ascent,18,14,14,6,Bronze,1,255.048,0,1,0,8,13,0,1,3
5d03e75a-924b-42f3-b5e2-9ddc09475dc0,Ascent,5,0,7,2,Bronze,1,64.267,0,1,1,10,2,0,1,3
13244431-c70b-4a87-a1a7-51a0a640847c,Ascent,16,1,20,9,Bronze,1,200.652,1,2,0,10,13,1,1,3
