id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
f40a38a8-c2f2-48a4-aaf9-a72c4cce69ff,Summit,6,9,15,3,Bronze,3,123.85,0,2,0,7,13,0,1,3
619b227e-ceb6-4e02-9a7c-ba06dd735997,Ascent,18,5,8,10,Bronze,3,344.375,4,0,1,13,3,1,1,3
236a4b63-986b-4489-9b6b-d5e6b795f84c,Ascent,22,7,17,7,Bronze,3,257.75,2,4,2,13,11,0,1,3
2d937d2c-c089-4c32-9437-accbc59278a7,Lotus,14,11,11,5,Bronze,3,220.053,0,1,3,13,6,0,1,3
fc964577-7a68-4fc8-bbee-56739d15c49c,Summit,23,7,18,14,Bronze,3,282.0,6,0,0,11,13,1,0,4
701091de-f228-440f-a4f7-631939fe400c,Split,15,11,12,5,Bronze,3,246.278,2,0,1,13,5,0,0,4
a7a5284e-3048-4062-a0cb-b012a517bf8a,Summit,15,7,14,5,Bronze,3,205.81,5,3,1,13,8,0,0,4
42c32053-75f5-486e-bcf2-851fee3a95a7,Split,16,9,13,12,Bronze,3,226.7,1,2,2,13,7,1,0,4
4dc2e76a-7615-439f-8182-d76b33c60546,Abyss,9,4,14,2,Silver,1,148.167,2,1,1,13,5,1,0,4
ef17a854-6d3c-4a4f-a61c-ff000974df0d,Ascent,13,10,19,4,Silver,1,182.667,2,3,1,13,11,1,0,4
adf2242b-081d-40c6-b34c-bea016fb125d,Lotus,5,12,18,3,Silver,1,98.238,0,3,0,8,13,1,0,4
