rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9b67b670-fa23-4f47-96a5-809b33e71e22,23.0,5.0,19.0,17.0,2.0,202.633,4.0,3.0,1.0,16.0,14.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,db56099c-8a7e-4bb8-a5d9-7df7a73b8066,17.0,0.0,7.0,10.0,2.0,218.167,1.0,0.0,2.0,13.0,5.0,1.0,2.0,2.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0d8902c0-769c-408b-ae83-adca65559bf7,21.0,8.0,16.0,17.0,2.0,253.417,2.0,0.0,3.0,13.0,11.0,0.0,1.0,3.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77c013e8-1e3b-4b39-b213-b257f92aa569,18.0,2.0,13.0,16.0,2.0,285.389,2.0,2.0,0.0,5.0,13.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,98fee671-fbb1-42ad-9dbb-be1cb622aa70,24.0,3.0,17.0,17.0,2.0,235.615,5.0,1.0,1.0,14.0,12.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3e02dd1e-a0de-4ad4-8f84-67bc1aab2a3b,14.0,12.0,12.0,8.0,2.0,218.2,0.0,3.0,1.0,13.0,7.0,0.0,1.0,3.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d2ca7775-6047-402d-9545-6cecfbb6284d,23.0,10.0,16.0,17.0,2.0,279.458,0.0,0.0,1.0,13.0,11.0,0.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2057d2ac-80e5-418f-8c1e-b75a748b41bc,17.0,7.0,19.0,15.0,2.0,219.364,3.0,1.0,0.0,9.0,13.0,0.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,d7b169e9-4314-4053-888a-2ad2c38231e2,21.0,3.0,14.0,13.0,2.0,273.136,3.0,3.0,1.0,13.0,9.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46a091b7-3e49-4cab-9e19-9a1ebef92365,17.0,3.0,16.0,9.0,2.0,211.087,3.0,3.0,2.0,13.0,10.0,1.0,1.0,3.0
