rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2c55e1ab-f6bc-4977-b922-8ea328c17b4b,17.0,6.0,20.0,15.0,1.0,229.909,2.0,3.0,0.0,9.0,13.0,0.0,2.0,2.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09004179-5baf-474e-95b3-f2e91d438ead,13.0,4.0,11.0,9.0,1.0,185.056,1.0,1.0,1.0,13.0,5.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4d8036cc-3edc-4d83-8e4b-7afd8dba6f1b,6.0,1.0,13.0,3.0,1.0,143.923,0.0,3.0,0.0,0.0,13.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,138f4118-a314-4096-a3b4-373b76c74fb6,20.0,9.0,15.0,12.0,1.0,203.5,1.0,1.0,1.0,14.0,12.0,0.0,2.0,2.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6c7a27ac-99f6-4e79-baa6-a7f29d69c6cb,14.0,3.0,7.0,10.0,1.0,249.067,0.0,2.0,2.0,13.0,2.0,0.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,d6eba345-8b95-4249-8ef3-210bab1f7b6f,21.0,3.0,19.0,11.0,1.0,276.087,7.0,3.0,1.0,13.0,10.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0eaaf809-4f36-4de2-8cf2-12ce30d89d9f,8.0,7.0,17.0,4.0,1.0,124.5,1.0,1.0,0.0,7.0,13.0,0.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,bf7b133f-eaac-4d1c-ae2b-b674a6b73eed,16.0,8.0,15.0,13.0,1.0,208.304,1.0,0.0,1.0,13.0,10.0,0.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eac0293a-353a-436c-81fa-644a433a696e,14.0,4.0,15.0,10.0,1.0,211.421,2.0,1.0,0.0,6.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46c039f3-a038-4c88-a690-6325884eadcd,16.0,4.0,5.0,10.0,1.0,259.688,2.0,0.0,1.0,13.0,3.0,0.0,0.0,4.0
