rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2c55e1ab-f6bc-4977-b922-8ea328c17b4b,17.0,1.0,19.0,8.0,1.0,224.636,3.0,2.0,0.0,9.0,13.0,0.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,db56099c-8a7e-4bb8-a5d9-7df7a73b8066,16.0,6.0,12.0,11.0,1.0,245.5,2.0,0.0,1.0,13.0,5.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1d791d4b-437f-4a8f-afa0-939239309eb4,14.0,2.0,8.0,13.0,1.0,201.778,1.0,3.0,2.0,13.0,5.0,1.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1c63c560-a31d-44df-964b-f9c28789a173,15.0,5.0,16.0,10.0,1.0,200.211,1.0,1.0,0.0,6.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3bd847b3-9a88-4b54-8cf5-3ed914488206,17.0,2.0,14.0,9.0,1.0,234.15,3.0,1.0,0.0,7.0,13.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,d4336326-2e31-4b83-9a3d-8f33130846af,22.0,4.0,15.0,12.0,1.0,277.857,1.0,1.0,0.0,8.0,13.0,1.0,2.0,2.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bc37f423-250d-4c2d-a5c4-b1a2be423f9a,9.0,4.0,15.0,5.0,1.0,142.053,0.0,2.0,0.0,6.0,13.0,0.0,2.0,2.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,c5d776ac-59b9-48ff-8892-daa2a3bc682e,22.0,13.0,18.0,12.0,1.0,284.962,1.0,3.0,0.0,12.0,14.0,0.0,1.0,3.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3af4c992-c175-4a58-a601-d05f0eb5c71a,19.0,1.0,7.0,11.0,1.0,370.143,6.0,2.0,1.0,12.0,1.0,0.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,c22dc624-f0f8-4174-ac1a-a3aa8e8c624a,14.0,5.0,16.0,9.0,1.0,209.0,5.0,3.0,2.0,13.0,7.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,d23b0235-97b1-442b-915d-727acfb357bc,5.0,3.0,13.0,2.0,1.0,152.615,1.0,4.0,0.0,0.0,13.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c9a742e0-f594-4a90-9c42-48c4a5a94c39,35.0,4.0,16.0,21.0,1.0,396.917,5.0,2.0,0.0,11.0,13.0,0.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1da65b77-4218-4bfc-98ad-c43ffee81c1a,29.0,2.0,12.0,18.0,1.0,380.591,3.0,3.0,1.0,13.0,9.0,1.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5855d5b8-0caf-48a6-bd53-6d3985d6aff4,16.0,3.0,14.0,11.0,1.0,214.524,5.0,1.0,1.0,13.0,8.0,1.0,1.0,3.0
