rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f9907ded-aa9c-4e62-822d-1ac701a5d4f7,27.0,3.0,15.0,18.0,1.0,288.958,3.0,1.0,0.0,11.0,13.0,1.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0c6e5b73-61ae-4ae1-b1d9-82935ef55eaa,14.0,9.0,12.0,10.0,1.0,224.882,2.0,2.0,1.0,13.0,4.0,0.0,0.0,4.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d0fa2f08-5889-4e03-90d0-558c96b6a33c,10.0,17.0,19.0,5.0,1.0,143.565,3.0,0.0,2.0,13.0,10.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,e1834417-692b-4e00-aa20-847d66972f30,16.0,5.0,16.0,16.0,1.0,235.3,1.0,0.0,0.0,7.0,13.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0316ff1a-08cf-4359-9643-039fb8060b22,18.0,3.0,10.0,14.0,1.0,236.579,5.0,4.0,1.0,13.0,6.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82c1bcfa-734f-45a5-b2d2-a0992c9ea9db,17.0,10.0,20.0,13.0,1.0,191.0,2.0,5.0,0.0,12.0,14.0,1.0,0.0,4.0
4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96eb73b1-c508-46c4-b716-ec7bd5e1c381,11.0,7.0,16.0,10.0,1.0,138.261,0.0,2.0,1.0,13.0,10.0,0.0,0.0,4.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e4dc400-eaca-4f0b-a87d-113721f38f7f,29.0,3.0,19.0,24.0,1.0,276.286,3.0,2.0,2.0,15.0,13.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8f3600f0-6804-4d62-934d-b79367054f65,18.0,3.0,14.0,20.0,1.0,276.684,0.0,1.0,0.0,6.0,13.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86c1018d-430e-46ae-864d-5c53a5f927b8,20.0,8.0,15.0,23.0,2.0,255.952,2.0,1.0,0.0,8.0,13.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,289c731a-bf25-466b-8fb1-85a455782d27,16.0,4.0,14.0,12.0,2.0,254.611,1.0,0.0,0.0,5.0,13.0,1.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90d208b1-a4f6-47d4-926a-f2f8b02a243d,11.0,5.0,10.0,11.0,1.0,151.55,1.0,1.0,1.0,13.0,7.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4a318fc6-c615-4b41-ba66-fa956759338f,16.0,5.0,17.0,13.0,1.0,192.875,1.0,2.0,2.0,13.0,11.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,b2e2bbd2-dd6e-4c45-af17-13fdac37a244,9.0,10.0,16.0,8.0,1.0,134.429,1.0,0.0,0.0,8.0,13.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a06a6562-0cf6-4871-86f5-2657afb28117,10.0,6.0,15.0,7.0,1.0,132.87,2.0,4.0,1.0,13.0,10.0,1.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3b90e8fc-56e2-435e-a6a2-242e2f2aa9e7,15.0,4.0,16.0,13.0,1.0,221.421,3.0,0.0,0.0,6.0,13.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,151d283d-b3b3-4284-bd02-1a988887506c,17.0,1.0,21.0,13.0,1.0,166.25,2.0,5.0,1.0,15.0,13.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1c5e83a5-6eb5-4081-9da5-9937a97f6622,12.0,11.0,11.0,11.0,1.0,187.947,2.0,1.0,2.0,13.0,6.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52b91278-1416-4599-8844-3c9859bf8974,25.0,2.0,17.0,22.0,1.0,252.923,4.0,4.0,1.0,14.0,12.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2eabf4d9-467a-4895-9fe3-9cec733a006c,12.0,7.0,23.0,11.0,2.0,132.731,0.0,2.0,1.0,14.0,12.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c0802cd0-06b3-4c16-a4cf-40f019b37476,17.0,5.0,15.0,16.0,2.0,228.667,3.0,3.0,2.0,13.0,8.0,1.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,e770bdc5-86f8-47d6-922a-6f7047f60127,12.0,10.0,18.0,14.0,2.0,192.0,1.0,2.0,0.0,8.0,13.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,b03a1445-bba3-45af-9edb-c6f490485b9e,14.0,6.0,16.0,11.0,2.0,187.091,2.0,0.0,0.0,9.0,13.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,df044a50-dab6-4eea-8dc4-dba793b221ef,22.0,7.0,25.0,17.0,2.0,215.406,1.0,6.0,0.0,16.0,16.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ae39344d-7a7f-4a8a-98b7-2b9e39bb9726,11.0,2.0,12.0,11.0,2.0,178.941,1.0,4.0,1.0,13.0,4.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59296980-7878-49d4-b0d6-933be288694a,12.0,5.0,10.0,9.0,3.0,184.895,1.0,0.0,1.0,13.0,6.0,1.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,364bd640-fb09-476f-8f7a-76cac04e1fcd,17.0,11.0,16.0,12.0,2.0,213.87,0.0,0.0,3.0,13.0,10.0,0.0,0.0,4.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255ca825-2a04-4687-87a5-36277e84f412,21.0,4.0,14.0,16.0,2.0,221.667,2.0,1.0,4.0,13.0,11.0,1.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0a40ae6f-3d50-4811-8b42-21ffcef4ff90,5.0,8.0,3.0,6.0,2.0,102.071,1.0,0.0,5.0,7.0,1.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3bad4c53-729f-4c5d-8756-c8cdb4fae9c6,22.0,3.0,13.0,14.0,3.0,280.952,2.0,3.0,1.0,13.0,8.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0c2f5335-4e78-4b7c-bba7-91b14309b398,17.0,3.0,14.0,15.0,3.0,233.95,3.0,4.0,3.0,13.0,7.0,1.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8277ed7a-6f35-439b-81dd-804bbca962bc,24.0,8.0,14.0,14.0,3.0,245.333,0.0,2.0,1.0,13.0,11.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adbce4c3-5605-43c0-be3f-28b8e13d8c1c,7.0,5.0,14.0,4.0,3.0,111.0,0.0,4.0,2.0,13.0,5.0,0.0,0.0,4.0
