rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,138f4118-a314-4096-a3b4-373b76c74fb6,21.0,6.0,19.0,11.0,1.0,214.385,2.0,2.0,0.0,12.0,14.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de11c9bc-1a36-4dd1-b5b6-0ccfb30adafc,2.0,5.0,18.0,4.0,1.0,76.105,0.0,2.0,0.0,6.0,13.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1eeec37e-013d-4ae7-a76d-3e959e65c567,16.0,1.0,16.0,8.0,1.0,199.318,3.0,0.0,0.0,9.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49b7a87b-bbfb-4c4e-a295-cc3a7d407738,16.0,1.0,16.0,5.0,1.0,190.227,0.0,0.0,1.0,13.0,9.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8f845a7b-08bd-432a-86a8-6cfd8e7668e0,15.0,3.0,6.0,7.0,1.0,213.647,1.0,0.0,1.0,13.0,4.0,0.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d71473c0-58df-4201-aa97-2a8a61e82677,18.0,4.0,15.0,11.0,1.0,200.652,3.0,0.0,1.0,13.0,10.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30c9a2ab-adcd-4475-93c3-459aa871fc68,7.0,4.0,6.0,5.0,1.0,131.8,0.0,1.0,2.0,10.0,2.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57745ea5-34ac-4d3e-9562-3828b66dd621,15.0,8.0,17.0,12.0,1.0,232.095,4.0,2.0,0.0,8.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,e60f8608-8b4d-4bae-9164-214c9b02abbd,10.0,2.0,18.0,7.0,1.0,131.455,0.0,1.0,0.0,9.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1496ae94-62d8-42d1-8e8a-636d70e67a4b,17.0,8.0,18.0,10.0,1.0,202.423,2.0,4.0,1.0,14.0,12.0,0.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59aadead-6851-4468-8fb3-fb26eaad9e23,16.0,5.0,21.0,16.0,1.0,165.857,2.0,4.0,1.0,15.0,13.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0365d650-bbcc-4472-b614-d381818865ae,6.0,2.0,11.0,6.0,1.0,117.812,0.0,1.0,0.0,3.0,11.0,1.0,0.0,4.0
