id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
23920c90-d714-4663-b2e3-13df90bff2c0,nothing like uuu,Lotus,Competitive,Reyna,Duelista,11,6,15,9,"['moonljxht', 'nxmq PRIME', 'EnJin', 'KATASTROPHICALD2']",Platinum,1.0,"['Miks', 'Jett', 'Breach', 'Reyna', 'Sage']",213.059,2,3,0,4,13,1787523515,"Sunday, August 23, 2026 10:18 PM"
75de00cc-f7a7-47af-9491-f0f17c844803,nothing like uuu,Abyss,Swiftplay,Reyna,Duelista,11,1,7,10,"['M4L7E02X2', 'Blob', 'yung uterus', 'raellarp']",Unrated,,"['Clove', 'Phoenix', 'Reyna', 'Skye', 'Fade']",422.25,4,1,1,5,3,1787505637,"Sunday, August 23, 2026 05:20 PM"
e74e46aa-959f-4b80-92fe-81b791f9f264,nothing like uuu,Split,Competitive,Jett,Duelista,14,4,19,11,"['tob1ax', 'NotCallMeKevv', 'pufocu', 'MrPawa']",Platinum,1.0,"['Omen', 'Chamber', 'Reyna', 'Jett', 'Breach']",163.565,3,5,0,10,13,1787502867,"Sunday, August 23, 2026 04:34 PM"
1c5d5e28-d225-4439-a68d-a8b76ad57657,nothing like uuu,Haven,Competitive,Reyna,Duelista,6,2,17,6,"['pasta al fornoツ', 'Drimmsu', 'Już tylko Pijo', 'Ojciec Pijo']",Platinum,1.0,"['Chamber', 'Vyse', 'Raze', 'Omen', 'Reyna']",108.278,1,5,0,5,13,1787500910,"Sunday, August 23, 2026 04:01 PM"
a60d16aa-741a-42f1-bf2c-303df65a57ab,nothing like uuu,Abyss,Competitive,Jett,Duelista,12,3,20,9,"['BlackAsta', 'nati', 'irini', 'bread']",Platinum,1.0,"['Sova', 'Sage', 'Jett', 'Miks', 'Vyse']",155.364,4,6,1,13,9,1787498426,"Sunday, August 23, 2026 03:20 PM"
3c5513c6-d6d4-4a6a-b336-cc8716d3c758,nothing like uuu,Summit,Competitive,Raze,Duelista,12,4,13,9,"['P0mmxs', 'Slangish', 'marcsk9', 'DRXLYBen2010']",Platinum,1.0,"['Astra', 'Jett', 'Cypher', 'Chamber', 'Raze']",179.4,1,2,1,13,7,1787575728,"Monday, August 24, 2026 12:48 PM"
7a972a55-03cd-4027-93ef-5588ed0838aa,nothing like uuu,Summit,Competitive,Raze,Duelista,19,4,20,14,"['ibrahimtalha171', 'JonnySavastano', 'Hasbulla', 'Elektrifyy']",Platinum,1.0,"['Clove', 'Sage', 'Raze', 'Fade', 'Phoenix']",206.962,4,8,0,12,14,1787572864,"Monday, August 24, 2026 12:01 PM"
823ac52e-bb31-4274-9823-3375dc4c353f,nothing like uuu,Split,Competitive,Raze,Duelista,21,7,15,19,"['Gorge Droid', 'ZL Mxrco', 'kxneki', 'Doko']",Platinum,1.0,"['Omen', 'Vyse', 'Reyna', 'Iso', 'Raze']",325.095,5,4,0,8,13,1787570733,"Monday, August 24, 2026 11:25 AM"
01941df1-2db4-451c-a814-0d97d6b7c2f2,nothing like uuu,Ascent,Competitive,Reyna,Duelista,13,7,20,11,"['BEKKSY', '9AL3I', 'urdadmaze02', 'Bhezy']",Platinum,1.0,"['Sage', 'Phoenix', 'Omen', 'Reyna', 'Chamber']",188.261,4,4,0,10,13,1787610888,"Monday, August 24, 2026 10:34 PM"
a33a0732-e409-47cb-b2fc-1a86de2fa654,nothing like uuu,Haven,Competitive,Reyna,Duelista,23,4,15,17,"['mastaba', 'lebron games', 'Lucifer', '69BeefLover']",Platinum,1.0,"['Omen', 'Chamber', 'Jett', 'Reyna', 'Skye']",275.391,5,1,1,13,10,1787607792,"Monday, August 24, 2026 09:43 PM"
1f657b93-3c64-4879-9af2-1b781aa13fe8,nothing like uuu,Lotus,Competitive,Raze,Duelista,16,3,14,16,"['Man Of The Year', 'ismetylmaz', 'sp3tnath', 'ZestyAnneFlank']",Platinum,1.0,"['Reyna', 'Jett', 'Clove', 'Deadlock', 'Raze']",228.857,1,2,2,13,8,1787605353,"Monday, August 24, 2026 09:02 PM"
3d843150-13f0-4d5c-809e-fa23b43adaa8,nothing like uuu,Lotus,Competitive,Raze,Duelista,14,6,20,14,"['errore90', 'Mad', 'xaros', 'Bludimír']",Platinum,1.0,"['Sage', 'Miks', 'Raze', 'Chamber', 'Reyna']",197.304,2,3,0,10,13,1787603048,"Monday, August 24, 2026 08:24 PM"
fe9c179b-f4c0-4393-b899-762554603dde,nothing like uuu,Split,Competitive,Reyna,Duelista,6,3,17,6,"['v2killer', 'dada', 'Bushslayer', 'kaww']",Platinum,1.0,"['Reyna', 'Raze', 'Jett', 'Brimstone', 'Fade']",130.235,2,5,0,4,13,1787613259,"Monday, August 24, 2026 11:14 PM"
6ad0180a-bd3d-426b-86ec-bf7ef04195a8,nothing like uuu,Lotus,Competitive,Clove,Controlador,20,3,19,16,"['ksDADA', 'EinsteinXXX', 'jaivx', 'Woyz']",Platinum,1.0,"['Clove', 'Neon', 'Skye', 'Chamber', 'Reyna']",260.476,4,3,0,8,13,1787663507,"Tuesday, August 25, 2026 01:11 PM"
5411e049-d9af-4479-931c-6dd6f770befc,nothing like uuu,Split,Competitive,Jett,Duelista,20,2,14,15,"['asuna', 'ARCHYTAS', 'gnarly b4stard', 'AJay']",Platinum,1.0,"['Clove', 'Yoru', 'KAY/O', 'Jett', 'Sage']",303.833,5,0,1,13,5,1787661520,"Tuesday, August 25, 2026 12:38 PM"
6aedd286-2650-46ec-8867-552bd20cc7bc,nothing like uuu,Abyss,Competitive,Reyna,Duelista,14,4,15,13,"['Neity2', 'Celebroh', 'Swagaholic', 'bolyy']",Platinum,1.0,"['Neon', 'Miks', 'Breach', 'Reyna', 'Deadlock']",241.056,4,2,0,5,13,1787695798,"Tuesday, August 25, 2026 10:09 PM"
048feaa8-bccc-4236-bcc2-b11705351237,nothing like uuu,Haven,Competitive,Reyna,Duelista,25,7,15,22,"['WhiteToes4daWin', 'zaczus', 'Kiritoo', 'Irosluap']",Platinum,1.0,"['Jett', 'Miks', 'Chamber', 'Fade', 'Reyna']",271.231,2,2,1,14,12,1787693354,"Tuesday, August 25, 2026 09:29 PM"
561ee68f-1bda-4aec-b1fe-1a5e42c6514f,nothing like uuu,Lotus,Competitive,Sova,Iniciador,16,4,17,14,"['ICEMAN', 'Moortie', 'tissetorben', 'Bul Bul Gadol']",Platinum,1.0,"['Phoenix', 'Omen', 'Jett', 'Chamber', 'Sova']",217.0,0,3,0,9,13,1787691162,"Tuesday, August 25, 2026 08:52 PM"
03f472d8-e6cf-4e39-8b8a-9c24793c423f,nothing like uuu,Ascent,Competitive,Sova,Iniciador,22,6,18,20,"['MartinaNightmare', 'Hildeegard', 'C3N', 'jc9']",Platinum,1.0,"['Sage', 'Viper', 'Phoenix', 'Sova', 'Jett']",275.5,1,3,1,13,11,1787688527,"Tuesday, August 25, 2026 08:08 PM"
8f94fd43-6b84-41ea-adeb-6f653f8ed9f7,nothing like uuu,Summit,Competitive,Raze,Duelista,10,1,13,8,"['大号 Uma 大号', 'normical', 'SneaX 皮', 'Firo']",Platinum,1.0,"['Clove', 'Chamber', 'Reyna', 'Raze', 'Skye']",159.059,1,0,0,4,13,1787675763,"Tuesday, August 25, 2026 04:36 PM"
