id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
526d641d-cea1-4994-b56f-f32a738078da,mrkos,Haven,Unrated,Reyna,Duelista,8,2,7,3,"['exd daan3', 'abather AKJ', 'FadddouThebald', 'killerB1G']",Unrated,,"['Sage', 'Omen', 'Gekko', 'Reyna', 'Sova']",126.222,2,1,0,3,5,1782799736,"Tuesday, June 30, 2026 06:08 AM"
a1e7df59-ca92-4fa5-988c-dc40f6c90248,mrkos,Bind,Unrated,Sova,Iniciador,12,2,4,6,"['Luffy', 'killerB1G', 'abather AKJ', 'valorant']",Unrated,,"['Chamber', 'Brimstone', 'Yoru', 'Sova', 'Omen']",222.5,1,1,1,9,1,1782798338,"Tuesday, June 30, 2026 05:45 AM"
95bdacc1-47e8-405a-9bd1-1d1d62f16035,mrkos,Haven,Competitive,Omen,Controlador,15,1,16,8,"['egoist', 'ELADIO CARRION', 'Kirtach09', 'ZG y4mi']",Bronze,1.0,"['Neon', 'Chamber', 'Omen', 'Skye', 'Jett']",162.792,2,0,0,11,13,1782795198,"Tuesday, June 30, 2026 04:53 AM"
de68b107-bae7-4836-985f-03854412eba2,mrkos,Ascent,Competitive,Omen,Controlador,12,6,20,9,"['ScaredOfWoman', 'Béliersept', 'Woman', '06022']",Bronze,1.0,"['Phoenix', 'Killjoy', 'Gekko', 'Raze', 'Omen']",168.318,0,3,0,9,13,1782761993,"Monday, June 29, 2026 07:39 PM"
c9aa777a-9602-49f9-9ed8-caa3afc7d0b8,mrkos,Sunset,Competitive,Gekko,Iniciador,16,1,3,6,"['Darkmatter', 'Lilac 袁', 'Nor1k1ta', 'makotohappy']",Bronze,1.0,"['Gekko', 'Viper', 'Jett', 'Sage', 'Chamber']",248.8,2,1,1,7,2,1782760688,"Monday, June 29, 2026 07:18 PM"
209da64a-81a8-4458-aef1-3f17974761a0,mrkos,Lotus,Competitive,Omen,Controlador,11,5,19,4,"['chieefk', 'x Elpopo x', 'Zedplus', 'MelinaTwiTwi']",Bronze,1.0,"['Neon', 'Omen', 'Reyna', 'Tejo', 'Sage']",146.125,1,0,0,11,13,1782862582,"Tuesday, June 30, 2026 11:36 PM"
bb0d6a86-2ee7-43a3-96ce-a43f75528b57,mrkos,Breeze,Competitive,Miks,Controlador,5,12,12,1,"['Tomhros2', 'Jobypu', 'minimarkus2010', 'Dealeur2Compote']",Bronze,1.0,"['Phoenix', 'Tejo', 'Miks', 'Raze', 'Sage']",115.312,2,2,1,13,3,1782916667,"Wednesday, July 01, 2026 02:37 PM"
bc4af5f2-620e-4c32-9715-7252e27337a3,mrkos,Breeze,Swiftplay,Raze,Duelista,3,1,3,1,"['FernanditoKitKat', 'profreefo', 'Y0SH1', 'adrtsuioo']",Unrated,,"['Sage', 'Raze', 'Skye', 'Clove', 'Chamber']",134.833,1,0,1,5,1,1783021192,"Thursday, July 02, 2026 07:39 PM"
55a8fed5-1b2f-4812-ac49-d4700957eac5,mrkos,Ascent,Competitive,Omen,Controlador,8,5,17,5,"['Jpplayingforfun', 'powder', 'patatafrita', 'huevofrito']",Bronze,1.0,"['Omen', 'Jett', 'Phoenix', 'Gekko', 'Chamber']",124.263,2,1,0,6,13,1783018648,"Thursday, July 02, 2026 06:57 PM"
d7ffa148-3363-4f30-ba04-43e0e149ebaa,mrkos,Haven,Competitive,Gekko,Iniciador,7,2,20,8,"['immortall demon', 'borgiba met 3ryn', 'urubudosekiso', 'ZefasGk12']",Bronze,1.0,"['Gekko', 'Cypher', 'Iso', 'Chamber', 'Omen']",124.81,1,5,0,8,13,1783015816,"Thursday, July 02, 2026 06:10 PM"
