id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
740550bd-232a-43cc-ba1f-2320dd4eaecd,hugokekwww,Lotus,Competitive,Fade,Iniciador,7,8,17,7,"['ELPOSI', 'Draco811', 'AtaqueRapido', 'XxTRIPALOSKIxX']",Platinum,3,"['Fade', 'Iso', 'Chamber', 'Miks', 'Raze']",108.95,2,1,0,7,13,1787534756,"Monday, August 24, 2026 01:25 AM"
21e29a7f-e769-49ef-a8b5-48651b3b6d30,hugokekwww,Haven,Competitive,Tejo,Iniciador,17,6,14,11,"['zxrblade', 'Favo', 'Draco811', 'AtaqueRapido']",Platinum,3,"['Iso', 'Phoenix', 'Chamber', 'Miks', 'Tejo']",201.455,2,1,1,13,9,1787532403,"Monday, August 24, 2026 12:46 AM"
6b7d6aa1-8b3c-4d20-8665-75d42ffc16b9,hugokekwww,Haven,Competitive,Miks,Controlador,15,12,17,9,"['AtaqueRapido', 'Draco811', 'shrek22', 'reychatarrero']",Platinum,3,"['Sage', 'Miks', 'Breach', 'Neon', 'Iso']",204.381,0,3,2,13,8,1787530397,"Monday, August 24, 2026 12:13 AM"
c3531593-bff3-42e8-846f-e5c7d0eebdf0,hugokekwww,Summit,Competitive,Phoenix,Duelista,12,2,16,11,"['Nuggets', 'trafalgar', 'Draco811', 'AtaqueRapido']",Platinum,3,"['Waylay', 'Fade', 'Chamber', 'Miks', 'Phoenix']",203.765,3,1,0,4,13,1787528783,"Sunday, August 23, 2026 11:46 PM"
0fba55cf-0a39-4e65-9ab9-c476541671fa,hugokekwww,Ascent,Competitive,Fade,Iniciador,10,5,14,9,"['Draco811', 'Onehappboi', 'bitloux', 'AtaqueRapido']",Diamond,1,"['Chamber', 'Miks', 'Jett', 'Killjoy', 'Fade']",183.75,1,3,0,3,13,1787527112,"Sunday, August 23, 2026 11:18 PM"
0341a49d-9195-4c84-93e7-735dd4f143ba,hugokekwww,Split,Competitive,Miks,Controlador,22,14,19,15,"['MAЯKINHØ', 'TRUX', 'LJtaco con queso', 'Draco811']",Diamond,1,"['Jett', 'Skye', 'Chamber', 'Phoenix', 'Miks']",255.417,2,2,0,11,13,1787585864,"Monday, August 24, 2026 03:37 PM"
5e51dca9-c06e-4da5-9703-8b65deeb841c,hugokekwww,Sunset,Competitive,Miks,Controlador,23,2,14,18,"['Draco811', 'LaTetaDeMotoMoto', 'Tr1Xzシ', 'Zidleo']",Platinum,3,"['Breach', 'Reyna', 'Jett', 'Miks', 'Killjoy']",265.909,2,2,1,13,9,1787583298,"Monday, August 24, 2026 02:54 PM"
f8864ac3-5c4c-4e86-8b11-c5f236b5a03f,hugokekwww,Lotus,Competitive,Miks,Controlador,20,19,12,14,"['blacnil2010', 'PMWtrujillo', 'Draco811', 'Culo Pinguino']",Platinum,3,"['Jett', 'Reyna', 'Chamber', 'Miks', 'Skye']",276.333,0,0,2,13,8,1787581256,"Monday, August 24, 2026 02:20 PM"
2218d91e-09c1-4e43-8330-1936534f5ebb,hugokekwww,Summit,Competitive,Miks,Controlador,21,10,19,17,"['SPR146', 'i miss herツ', 'Ｐｏｐｅ Ｇｏｄ', 'Draco811']",Diamond,1,"['Breach', 'Phoenix', 'Jett', 'Chamber', 'Miks']",223.731,1,2,1,14,12,1787617625,"Tuesday, August 25, 2026 12:27 AM"
5b61face-e6a3-41ec-8d46-e82f6a71c4f5,hugokekwww,Haven,Competitive,Jett,Duelista,16,7,18,11,"['Draco811', 'gugga', 'Marcooooooos17', 'Pepeko']",Diamond,1,"['Breach', 'Miks', 'Killjoy', 'Jett', 'Iso']",205.609,2,3,2,13,10,1787615452,"Monday, August 24, 2026 11:50 PM"
