id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
ddaf3062-228d-4ddf-99c5-2a39aa72f3bc,Eiri,Fracture,Competitive,Breach,Iniciador,14,5,15,14,"['L1yer', 'DEATHZV2 EGO', 'Qklover', 'schneider']",Ascendant,3.0,"['Cypher', 'Breach', 'Clove', 'Raze', 'Jett']",181.762,1,0,0,8,13,,
07a0abb0-ec09-4e5a-b4de-ce90cfd1c831,Eiri,Pearl,Competitive,Clove,Controlador,19,11,26,16,"['VadyaJoker', 'Драйко', 'Saxx', 'DEATHZV2 EGO']",Ascendant,3.0,"['KAY/O', 'Reyna', 'Jett', 'Clove', 'Chamber']",224.577,2,4,0,12,14,,
ce3bbcf6-6138-40e4-bd72-2967a72d320c,Eiri,Skirmish C,Custom Game,Jett,Duelista,5,0,10,0,[],Unrated,,['Jett'],85.0,5,10,0,5,10,,
635a6fdd-e06d-4561-8b29-8eb2b8eee7a2,Eiri,Pearl,Competitive,Clove,Controlador,15,9,15,14,"['Qklover', 'DEATHZV2 EGO', 'Strafe 么', 'IG yatoxico365']",Ascendant,2.0,"['Chamber', 'Jett', 'Clove', 'Fade', 'Reyna']",219.579,1,1,1,13,6,,
09050e08-edc1-4453-b21f-037b88de3f2b,Eiri,Split,Competitive,Tejo,Iniciador,21,6,14,11,"['Qklover', 'Shoyo Hinata', 'DEATHZV2 EGO', 'hakuji soyama']",Ascendant,2.0,"['Raze', 'Clove', 'Breach', 'Sage', 'Tejo']",217.308,1,2,2,14,12,,
2827b4ee-b772-4c20-9c7a-9b5ea0c55485,Eiri,Breeze,Competitive,Astra,Controlador,13,6,10,8,"['TH Freecolombii', 'Manteca Wena', 'Qklover', 'DEATHZV2 EGO']",Ascendant,2.0,"['KAY/O', 'Jett', 'Chamber', 'Astra', 'Reyna']",212.722,3,2,1,13,5,1781247399.0,"Friday, June 12, 2026 06:56 AM"
14cddb62-bcac-467a-a7d6-f83cb476316a,Eiri,Split,Competitive,Raze,Duelista,16,4,13,9,"['ΛΚΚΛΛVL ﾅ', 'Manteca Wena', 'DEATHZV2 EGO', 'Qklover']",Ascendant,2.0,"['Jett', 'Raze', 'Vyse', 'Breach', 'Omen']",229.25,1,1,2,13,7,1781245031.0,"Friday, June 12, 2026 06:17 AM"
f08a81d3-e6b2-4cae-a0f6-bf5ce6f8e909,Eiri,Fracture,Competitive,Raze,Duelista,9,1,13,3,"['DEATHZV2 EGO', 'Qklover', 'Sausage', 'YMassterr']",Ascendant,3.0,"['Raze', 'Reyna', 'Brimstone', 'Chamber', 'Breach']",177.0,2,1,0,1,13,1781249289.0,"Friday, June 12, 2026 07:28 AM"
c78539c5-831a-4c6c-8ae9-7e2160ee8327,Eiri,Breeze,Competitive,Clove,Controlador,17,8,17,17,"['kenfrizz', 'Mark Grayson', 'Deathz', 'kvaradona']",Ascendant,3.0,"['Chamber', 'Waylay', 'Skye', 'Jett', 'Clove']",210.455,1,1,1,13,9,1781334131.0,"Saturday, June 13, 2026 07:02 AM"
f1c6bf32-90a9-4e99-a25c-ecb8bf17c340,Eiri,Ascent,Competitive,Neon,Duelista,10,1,16,9,"['Deathz', 'NoToRac1sm', 'LR crooy', 'FakeInfo']",Ascendant,3.0,"['Sage', 'Sova', 'Miks', 'Neon', 'Jett']",138.85,0,3,0,7,13,1781332106.0,"Saturday, June 13, 2026 06:28 AM"
1784552e-ca05-41a0-b2a0-558a25098d3f,Eiri,Breeze,Competitive,Neon,Duelista,14,1,10,11,"['Deathz', 'Mark Grayson', 'kvaradona', 'Josep Pedrerol']",Ascendant,2.0,"['Neon', 'Sova', 'Omen', 'Jett', 'Sage']",249.188,3,0,1,13,3,1781330344.0,"Saturday, June 13, 2026 05:59 AM"
c773fdce-47f6-4a01-8050-bd88561acf18,Eiri,Fracture,Competitive,Phoenix,Duelista,20,6,16,12,"['Underwater', 'BigBΛllΞR', 'L1yer', 'Deathz']",Ascendant,2.0,"['Tejo', 'Chamber', 'Miks', 'Phoenix', 'Sage']",244.522,2,3,2,13,10,1781326525.0,"Saturday, June 13, 2026 04:55 AM"
