id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
0c62a57e-5595-42c6-a755-ba2eca48162a,Cryboy,Haven,Competitive,Gekko,Iniciador,7,3,19,3,"['PanchiTurro', 'PERLOO', 'ZG y4mi', 'egoist']",Iron,3.0,"['Cypher', 'Gekko', 'Omen', 'Jett', 'Neon']",78.042,1,2,1,13,11,1782696787,"Monday, June 29, 2026 01:33 AM"
71b3ac3c-567c-418e-8db1-c598848b3160,Cryboy,Split,Competitive,Tejo,Iniciador,20,8,17,7,"['ZG y4mi', 'egoist', 'BIG blax cook', 'cheiracatota']",Iron,3.0,"['Jett', 'Neon', 'Tejo', 'Omen', 'Veto']",237.75,1,3,2,13,11,1782694101,"Monday, June 29, 2026 12:48 AM"
3252c811-c034-454c-86de-a6a0ee9ac298,Cryboy,Sunset,Competitive,Killjoy,Centinela,12,5,16,5,"['ppaggannJr', 'alen', 'SRH72007', 'lost']",Iron,3.0,"['Brimstone', 'Killjoy', 'Reyna', 'Raze', 'Skye']",159.174,1,2,0,10,13,1782691535,"Monday, June 29, 2026 12:05 AM"
d81471b5-d08a-4f4a-b78c-bba0b3fa47dc,Cryboy,Breeze,Competitive,Brimstone,Controlador,6,7,7,1,"['RedaTOSEINA', 'Barbarapassaro10', 'xarlyyy10', 'anamariamoon']",Iron,2.0,"['Raze', 'Brimstone', 'Reyna', 'Gekko', 'Sage']",83.471,0,2,1,13,4,1782648680,"Sunday, June 28, 2026 12:11 PM"
33159958-550a-4f11-b8af-eb6f310be5d6,Cryboy,Ascent,Competitive,Tejo,Iniciador,15,6,18,4,"['rodaballo', 'El put0 Cachi', 'Nykeu', 'Ayoub']",Iron,2.0,"['Brimstone', 'Reyna', 'Killjoy', 'Miks', 'Tejo']",216.727,4,2,2,13,9,1782569712,"Saturday, June 27, 2026 02:15 PM"
888a6503-f70b-4857-88b9-dad9b7dc3c33,Cryboy,Fracture,Unrated,Raze,Duelista,11,8,15,3,"['UnityST1', 'Amoeve', 'bkdkylove', 'HvKdoxi']",Unrated,,"['Chamber', 'Sage', 'Jett', 'Clove', 'Raze']",175.55,2,8,1,13,7,1783697406,"Friday, July 10, 2026 03:30 PM"
c5b3c862-61d9-4a9b-95a3-2a62c5c74e68,Cryboy,Lotus,Unrated,Brimstone,Controlador,17,2,16,6,"['YouNess', 'coelho gordo', 'Amoeve', '本本本本本本本本本本本本本本本本']",Unrated,,"['Reyna', 'Sage', 'Brimstone', 'Gekko', 'Yoru']",248.45,5,6,0,7,13,1783695301,"Friday, July 10, 2026 02:55 PM"
23e7a57a-267f-4d53-b8ec-b5221c7e3833,Cryboy,Abyss,Unrated,Skye,Iniciador,34,7,20,15,"['Amoeve', 'SilverFPS', 'Muxy', 'rebeudistingué']",Unrated,,"['Skye', 'Jett', 'Phoenix', 'Clove', 'Sage']",423.042,4,1,0,11,13,1783692552,"Friday, July 10, 2026 02:09 PM"
e849041d-a296-47bc-90aa-5579ff925dbf,Cryboy,Abyss,Unrated,Skye,Iniciador,17,3,15,8,"['Youssef', 'iaan', 'Amoeve', 'lucifer']",Unrated,,"['Phoenix', 'Chamber', 'Skye', 'Brimstone', 'Omen']",254.6,4,4,0,7,13,1783690119,"Friday, July 10, 2026 01:28 PM"
2a3aad0d-435a-4acb-a49e-0b8d8beeb640,Cryboy,Summit,Competitive,Fade,Iniciador,16,6,20,5,"['OecGreg', 'SecretLP', 'elgambadelardal', 'MATAPAYOS']",Iron,3.0,"['Waylay', 'Neon', 'Fade', 'Brimstone', 'Chamber']",173.308,4,0,1,14,12,1783734620,"Saturday, July 11, 2026 01:50 AM"
bb8f10f1-a615-4e9a-ad92-aa36cb404ae6,Cryboy,Split,Competitive,Raze,Duelista,9,9,14,5,"['draganove0', 'SADHAMHOESAYN', 'loren selvatour', 'Artemis ﾂ']",Iron,3.0,"['Raze', 'Iso', 'Chamber', 'Sage', 'Clove']",190.294,3,4,2,13,4,1783732601,"Saturday, July 11, 2026 01:16 AM"
ca976df5-db44-4a43-919d-8d8e8914e9fa,Cryboy,Lotus,Competitive,Chamber,Centinela,17,3,20,8,"['StrafeXx', 'GOJO', 'aorta', 'BORUTO']",Iron,3.0,"['Jett', 'Reyna', 'Clove', 'Yoru', 'Chamber']",216.087,4,2,0,10,13,1783729571,"Saturday, July 11, 2026 12:26 AM"
1592d781-3ccb-4b09-a91d-a3c03c90c0ae,Cryboy,Ascent,Unrated,Clove,Controlador,23,6,22,12,"['Amoeve', 'mequier0suicidar', 'Archeremo', 'Minicrispi']",Unrated,,"['Clove', 'Gekko', 'Sova', 'Neon', 'Reyna']",288.0,2,2,0,11,13,1783782653,"Saturday, July 11, 2026 03:10 PM"
84e6967f-e045-4fdf-8aa8-8ab48cfc1575,Cryboy,Ascent,Unrated,Miks,Controlador,23,11,22,10,"['Pancetas', 'pepeguaye', 'Amoeve', 'jacogol']",Unrated,,"['Chamber', 'Neon', 'Miks', 'Phoenix', 'Gekko']",273.96,4,1,0,12,13,1783779263,"Saturday, July 11, 2026 02:14 PM"
4102149e-6e87-4d74-9e12-71e1e4d4ddef,Cryboy,Split,Unrated,Raze,Duelista,10,5,11,5,"['Kmon08', 'MassanaXic2626', 'Amoeve', 'Castillo0124']",Unrated,,"['Chamber', 'Phoenix', 'Raze', 'Jett', 'Miks']",142.263,1,4,1,13,6,1783777014,"Saturday, July 11, 2026 01:36 PM"
99cbe9e2-1965-4d89-b5dd-22e2857908ec,Cryboy,Pearl,Unrated,Astra,Controlador,11,10,19,4,"['Benrockbeast', 'Amoeve', 'jeremy23', 'tepartoelcuello0']",Unrated,,"['Reyna', 'Gekko', 'Raze', 'Astra', 'Cypher']",150.52,3,1,2,13,12,1783773844,"Saturday, July 11, 2026 12:44 PM"
