id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
41b04834-ea45-4cce-962c-0b8bc1903f08,sumoenzo,Summit,Competitive,KAY/O,Iniciador,15,17,23,7,"['talibandudu', 'jrande Bosta', 'gaelPL', 'carlosxinzo201']",Bronze,1.0,"['Omen', 'Reyna', 'Jett', 'Sage', 'KAY/O']",147.071,1,3,0,14,14,1782818410,"Tuesday, June 30, 2026 11:20 AM"
174fd26e-12e8-4a0e-9d24-390ef8e64a4b,sumoenzo,Sunset,Competitive,Brimstone,Controlador,15,8,15,10,"['talibandudu', 'jrande Bosta', 'gaelPL', 'carlosxinzo201']",Iron,3.0,"['Chamber', 'Reyna', 'Brimstone', 'Jett', 'Sage']",204.292,0,1,1,13,11,1782816338,"Tuesday, June 30, 2026 10:45 AM"
1aff72e4-55ab-4bcb-a9e7-07f85dca2b81,sumoenzo,Split,Unrated,Chamber,Centinela,10,5,7,5,"['hermano', 'Castelao', 'gaelPL', 'jrande Bosta']",Unrated,,"['Deadlock', 'Clove', 'Chamber', 'Jett', 'Yoru']",140.35,3,0,1,7,7,1782774089,"Monday, June 29, 2026 11:01 PM"
1200e515-71c1-4606-a521-18536a19a78c,sumoenzo,Breeze,Competitive,Gekko,Iniciador,12,9,14,10,"['ZG y4mi', 'TheGakyy', 'JBaarceloo', 'egoist']",Iron,3.0,"['Gekko', 'Viper', 'Clove', 'Cypher', 'Jett']",181.05,2,2,2,13,7,1782686935,"Sunday, June 28, 2026 10:48 PM"
cdaa1e3d-4f2b-4826-a979-f12029453c15,sumoenzo,Ascent,Competitive,Brimstone,Controlador,14,3,20,8,"['gordriigr', 'egoist', 'ZG y4mi', 'Javi nuclear']",Iron,3.0,"['Chamber', 'Sova', 'Jett', 'Brimstone', 'Raze']",134.321,1,1,2,14,14,1782683223,"Sunday, June 28, 2026 09:47 PM"
4e57736f-3968-4f68-ba08-be7f96fae8a8,sumoenzo,Sunset,Competitive,Tejo,Iniciador,14,6,15,10,"['elluisaall', 'CH140N', 'JBVeiga99', 'talibandudu']",Bronze,1.0,"['Omen', 'Raze', 'Tejo', 'Sage', 'Chamber']",210.632,1,0,1,13,6,1782913198,"Wednesday, July 01, 2026 01:39 PM"
18d62a23-6052-4e2e-ac22-8b11e07337bc,sumoenzo,Split,Competitive,Breach,Iniciador,16,10,13,7,"['CyCLoPs3az', 'Amordegata', 'gaelPL', 'talibandudu']",Bronze,1.0,"['Reyna', 'Sage', 'Chamber', 'Omen', 'Breach']",218.087,4,3,1,13,10,1782946403,"Wednesday, July 01, 2026 10:53 PM"
5938b24c-9ab9-4238-9842-b645b2837c00,sumoenzo,Breeze,Competitive,Phoenix,Duelista,15,1,7,9,"['talibandudu', 'LA CEGADORA', 'Escipion', 'gaelPL']",Bronze,1.0,"['Chamber', 'Phoenix', 'Viper', 'KAY/O', 'Yoru']",250.267,3,3,2,13,2,1782944646,"Wednesday, July 01, 2026 10:24 PM"
9337c122-2132-4761-990b-5e05bc49446f,sumoenzo,Lotus,Competitive,Gekko,Iniciador,7,1,15,5,"['gaelPL', 'Baekka1', 'talibandudu', 'mokbel17']",Bronze,1.0,"['Reyna', 'Gekko', 'Chamber', 'Omen', 'Jett']",119.167,1,2,0,5,13,1782942645,"Wednesday, July 01, 2026 09:50 PM"
644f118a-5385-47ec-8f0f-f24a00b55ed4,sumoenzo,Ascent,Competitive,Cypher,Centinela,8,2,6,5,"['draviokiedt', 'talibandudu', '爱泼斯坦', 'BeSaY']",Bronze,2.0,"['Omen', 'Chamber', 'Cypher', 'Jett', 'Breach']",126.733,0,0,1,10,2,1783002695,"Thursday, July 02, 2026 02:31 PM"
