id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
92359503-8735-417f-830c-98dd3f100f6b,Carliviris13,Split,Competitive,Brimstone,Controlador,6,4,14,6,"['Shakeera', 'enzopyt', 'AbrahamPanchete', 'abrahamn647']",Bronze,2.0,"['Cypher', 'Phoenix', 'Brimstone', 'Reyna', 'Iso']",119.0,0,1,0,3,13,1787537274,"Monday, August 24, 2026 02:07 AM"
3c687180-0d87-4bd8-9246-93fc5d84851f,Carliviris13,Abyss,Competitive,Brimstone,Controlador,10,3,7,2,"['Proteinass', 'Proazzo', 'mathalis', 'danyy']",Bronze,2.0,"['Sova', 'Jett', 'Sage', 'Brimstone', 'Chamber']",165.0,1,1,1,10,3,1787535712,"Monday, August 24, 2026 01:41 AM"
242a9055-9c98-4874-bfbd-12a22e64abdf,Carliviris13,Haven,Competitive,Brimstone,Controlador,12,6,17,15,"['WANTED ES', 'diegalesthe1', 'lacostadelnorte', 'RHEC']",Bronze,2.0,"['Chamber', 'Brimstone', 'Jett', 'Gekko', 'Phoenix']",166.435,0,0,0,10,13,1787533264,"Monday, August 24, 2026 01:01 AM"
f5b0eb24-edbe-4ac3-9941-0430a6f152aa,Carliviris13,Sunset,Competitive,Brimstone,Controlador,14,9,21,14,"['tuxi', 'Alzero27', 'DrWeb0', 'DavidBacon']",Bronze,2.0,"['Brimstone', 'Sage', 'Sova', 'Breach', 'Reyna']",174.391,0,5,0,10,13,1787530735,"Monday, August 24, 2026 12:18 AM"
21a2e03c-dc7a-4776-a400-54299e095d86,Carliviris13,Split,Competitive,Brimstone,Controlador,12,5,13,11,"['Tony1230616', 'sñor tomate', 'PenelopeEpic', 'Krugger']",Unrated,,"['Raze', 'Cypher', 'Sage', 'Gekko', 'Brimstone']",198.111,4,1,1,13,5,1787528544,"Sunday, August 23, 2026 11:42 PM"
757d8158-3300-46b2-84d7-d03deefc198c,Carliviris13,Sunset,Competitive,Sova,Iniciador,5,1,15,2,"['Fernandezs', 'Hodeimax18', 'AleixX21', 'AC120']",Bronze,2.0,"['Omen', 'Jett', 'Deadlock', 'Sova', 'Chamber']",98.25,1,4,0,3,13,1787612309,"Monday, August 24, 2026 10:58 PM"
b25a327c-55cb-4051-bd29-97d15268d36a,Carliviris13,Summit,Competitive,Brimstone,Controlador,14,10,23,10,"['albertochicote', 'franco', 'etesech', 'Snézzy']",Bronze,2.0,"['Brimstone', 'Reyna', 'Tejo', 'Chamber', 'Jett']",187.5,4,4,0,12,14,1787609363,"Monday, August 24, 2026 10:09 PM"
46e4d085-1b6f-4c68-b351-5edff9737cf4,Carliviris13,Sunset,Competitive,Brimstone,Controlador,8,3,7,4,"['hiruka', 'Dibaye', 'Dibayo', 'MakiZenin']",Bronze,2.0,"['Cypher', 'Fade', 'Reyna', 'Brimstone', 'Sage']",143.5,1,3,1,10,3,1787607908,"Monday, August 24, 2026 09:45 PM"
0a30c35f-586f-48e7-b100-5e9e200aa8d2,Carliviris13,Summit,Competitive,Phoenix,Duelista,14,3,16,8,"['nEeYrRa21', 'πtote', 'perrosanchedimit', 'abejita']",Bronze,2.0,"['Phoenix', 'Sova', 'Miks', 'Jett', 'Sage']",168.125,1,4,2,13,11,1787605350,"Monday, August 24, 2026 09:02 PM"
bdecae65-0a24-4b99-bbda-29eaae4a5ac8,Carliviris13,Summit,Unrated,Brimstone,Controlador,8,1,3,5,"['iwana', 'Leoperrodios', 'theuxn69', 'Dinoian696']",Unrated,,"['Yoru', 'Breach', 'Brimstone', 'Sage', 'Phoenix']",170.6,2,1,3,6,2,1787604007,"Monday, August 24, 2026 08:40 PM"
5039e1fa-c50b-416a-a703-5c2199c3f771,Carliviris13,Abyss,Competitive,Brimstone,Controlador,14,7,16,9,"['Jose Nogales', 'Edp3730', 'Equilibruim', 'dennisHD1']",Bronze,2.0,"['Jett', 'Gekko', 'Brimstone', 'Killjoy', 'Clove']",195.273,1,1,0,9,13,1787613921,"Monday, August 24, 2026 11:25 PM"
