id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
9b67b670-fa23-4f47-96a5-809b33e71e22,mAdn3ss,Pearl,Competitive,Chamber,Centinela,23,5,19,17,"['wArm3d', 'welsonbel', 'rest in pee', '유준sheng']",Diamond,2.0,"['Chamber', 'Jett', 'Raze', 'Miks', 'Skye']",202.633,4,3,1,16,14,,
db56099c-8a7e-4bb8-a5d9-7df7a73b8066,mAdn3ss,Haven,Competitive,Chamber,Centinela,17,0,7,10,"['wArm3d', 'JUEGOXQNOFOLLO', 'Reshiram', 'Malone76']",Diamond,2.0,"['Chamber', 'Jett', 'Miks', 'Reyna', 'Sova']",218.167,1,0,2,13,5,,
0d8902c0-769c-408b-ae83-adca65559bf7,mAdn3ss,Fracture,Competitive,Skye,Iniciador,21,8,16,17,"['manolonoob', 'wArm3d', 'Jates da wish', 'PINKTAPEPINKTAPE']",Diamond,2.0,"['Chamber', 'Brimstone', 'Jett', 'Neon', 'Skye']",253.417,2,0,3,13,11,,
77c013e8-1e3b-4b39-b213-b257f92aa569,mAdn3ss,Breeze,Competitive,Chamber,Centinela,18,2,13,16,"['slowz is back', 'Ratona', 'Laureano is back', 'wArm3d']",Diamond,2.0,"['Phoenix', 'KAY/O', 'Clove', 'Chamber', 'Jett']",285.389,2,2,0,5,13,,
98fee671-fbb1-42ad-9dbb-be1cb622aa70,mAdn3ss,Lotus,Competitive,Chamber,Centinela,24,3,17,17,"['ROMPETOTAS', 'wArm3d', 'TeF0lloLaJETTa', 'Shinobu Oshino']",Diamond,2.0,"['Fade', 'Chamber', 'Raze', 'Iso', 'Clove']",235.615,5,1,1,14,12,,
3e02dd1e-a0de-4ad4-8f84-67bc1aab2a3b,mAdn3ss,Fracture,Competitive,Skye,Iniciador,14,12,12,8,"['wArm3d', 'juko22', 'Sup monkeys', 'Alonso Mazza']",Diamond,2.0,"['Skye', 'Brimstone', 'Cypher', 'Raze', 'Chamber']",218.2,0,3,1,13,7,1781367183.0,"Saturday, June 13, 2026 04:13 PM"
d2ca7775-6047-402d-9545-6cecfbb6284d,mAdn3ss,Ascent,Competitive,Sova,Iniciador,23,10,16,17,"['wArm3d', 'eSSSpartac0', 'McLovinn', 'Μέγας Αλέξανδρο']",Diamond,2.0,"['Skye', 'Chamber', 'Sova', 'Jett', 'Omen']",279.458,0,0,1,13,11,1781451462.0,"Sunday, June 14, 2026 03:37 PM"
2057d2ac-80e5-418f-8c1e-b75a748b41bc,mAdn3ss,Lotus,Competitive,Clove,Controlador,17,7,19,15,"['Sr Misterioso', 'capitan philips', '4kuma悪', 'wArm3d']",Diamond,2.0,"['Chamber', 'Reyna', 'Tejo', 'Clove', 'Raze']",219.364,3,1,0,9,13,1781449085.0,"Sunday, June 14, 2026 02:58 PM"
d7b169e9-4314-4053-888a-2ad2c38231e2,mAdn3ss,Haven,Competitive,Chamber,Centinela,21,3,14,13,"['Capibara Táctico', 'TM Perseus', 'Kratos69', 'wArm3d']",Diamond,2.0,"['Omen', 'Chamber', 'Sova', 'Phoenix', 'Skye']",273.136,3,3,1,13,9,1781490880.0,"Monday, June 15, 2026 02:34 AM"
46a091b7-3e49-4cab-9e19-9a1ebef92365,mAdn3ss,Fracture,Competitive,Chamber,Centinela,17,3,16,9,"['Loki', 'TdasPxtas', 'raze gitana', 'wArm3d']",Diamond,2.0,"['Jett', 'Chamber', 'Iso', 'Raze', 'Brimstone']",211.087,3,3,2,13,10,1781488783.0,"Monday, June 15, 2026 01:59 AM"
