id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
5cffd4e0-098c-4a9d-826d-346791abdf9a,VadyaJoker,Breeze,Competitive,Jett,Duelista,19,0,7,15,"['Weirdo', 'jopa229', 'authentic mutual', 'diamond 7']",Ascendant,3,"['Sova', 'Viper', 'Chamber', 'Jett', 'Reyna']",275.824,0,1,1,13,4,,
07a0abb0-ec09-4e5a-b4de-ce90cfd1c831,VadyaJoker,Pearl,Competitive,KAY/O,Iniciador,13,6,18,12,"['Драйко', 'Saxx', 'Eiri', 'DEATHZV2 EGO']",Ascendant,3,"['KAY/O', 'Reyna', 'Jett', 'Clove', 'Chamber']",162.038,0,0,0,12,14,,
70279999-6745-4eaf-8a8a-d070e8dcf49c,VadyaJoker,Breeze,Competitive,Sova,Iniciador,10,4,10,8,"['RoYaL', 'tei', 'M O 3 G Z A', 'saitohajime']",Ascendant,3,"['Chamber', 'Sova', 'Jett', 'Reyna', 'Clove']",170.588,1,0,1,13,4,,
0cc82d00-b76f-4c19-8e18-ca73ce24582f,VadyaJoker,Ascent,Competitive,KAY/O,Iniciador,15,8,15,13,"['tei', 'M O 3 G Z A', 'Sherifonly', 'saitohajime']",Ascendant,3,"['Jett', 'Reyna', 'KAY/O', 'Chamber', 'Clove']",225.286,1,1,0,8,13,,
4ccb2729-1c3c-4366-beb5-857623bdd9bb,VadyaJoker,Lotus,Competitive,Miks,Controlador,22,17,12,22,"['Shifty', 'FRAGG EXD', 'FRAGG ICE', 'TLC Remplaced']",Ascendant,3,"['Jett', 'Miks', 'Reyna', 'Phoenix', 'Chamber']",298.286,1,0,1,13,8,,
5d4e4188-b610-4d2e-8700-dcb301447714,VadyaJoker,Lotus,Competitive,Miks,Controlador,9,9,13,6,"['coldmad', 'Wildflower', 'RTR Finch', 'woetriin']",Ascendant,3,"['Jett', 'Killjoy', 'Miks', 'Reyna', 'Fade']",143.667,0,2,0,5,13,1781247592.0,"Friday, June 12, 2026 06:59 AM"
63569cff-4c4e-4b1b-a64a-bfc9478c395a,VadyaJoker,Haven,Competitive,Jett,Duelista,16,1,15,11,"['Focus', '16xx', 'Wildflower', '5 avg monster']",Ascendant,3,"['Clove', 'Jett', 'Neon', 'Sova', 'Sage']",187.348,1,3,1,13,10,1781244951.0,"Friday, June 12, 2026 06:15 AM"
bc891482-1682-4659-a686-fda2a77121e0,VadyaJoker,Haven,Competitive,Jett,Duelista,18,1,17,14,"['IbaJiba', '幸せはどこにありますか', 'eevee', 'mazohist']",Ascendant,3,"['Skye', 'Jett', 'Chamber', 'Miks', 'Cypher']",265.15,2,2,0,7,13,1781261282.0,"Friday, June 12, 2026 10:48 AM"
f98b441c-0a8b-4b14-80df-6d5b92626e9a,VadyaJoker,Breeze,Competitive,Astra,Controlador,25,9,16,19,"['MarmSmit', 'трюкач', 'ka4epga', 'ID9ALITY']",Ascendant,3,"['Raze', 'Astra', 'Chamber', 'Sage', 'Jett']",288.708,1,1,0,11,13,1781258667.0,"Friday, June 12, 2026 10:04 AM"
08f5f5dd-bb3f-4dbe-8d3d-977ba0adff3a,VadyaJoker,Lotus,Competitive,Jett,Duelista,16,3,13,14,"['Nanash1', 'Фух убил', 'oniz', 'a44']",Ascendant,3,"['Clove', 'Jett', 'Reyna', 'Breach', 'Vyse']",246.389,6,1,1,13,5,1781256888.0,"Friday, June 12, 2026 09:34 AM"
