id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas
f50cb6bd-8d88-451d-9f41-8eedd762ec2d,Aaronnn17,Glitch,Knockout,Harbor,Controlador,8,6,8,5,"['Alexxx2291', 'икарус', 'LeonidasAdidas', 'MijyMijy']",Unrated,,"['Phoenix', 'Harbor', 'Neon', 'Fade', 'Jett']",399.833,0,0,0,2,4
21b6b62f-7cb1-4773-9835-db4101800fc0,Aaronnn17,Pearl,Competitive,Phoenix,Duelista,19,4,12,6,"['Ryuuji Takasu', 'amoaminovio', 'Alexxx2291', 'PacoFast']",Gold,3,"['Phoenix', 'Clove', 'Sage', 'Gekko', 'Chamber']",323.059,3,2,1,13,4
8ac3d251-b92a-4e06-a10b-9330481e4dcf,Aaronnn17,Lotus,Competitive,Chamber,Centinela,14,3,8,5,"['Sweir', 'Alexxx2291', 'nut', 'Majordurex']",Gold,3,"['Sova', 'Cypher', 'Chamber', 'Raze', 'Brimstone']",225.562,2,1,2,13,3
57bf22f5-2530-4e47-9811-a909fd1c2966,Aaronnn17,Fracture,Competitive,Breach,Iniciador,9,2,8,4,"['Kai1', 'oliverbenji', 'Alexxx2291', 'el chambeador']",Gold,3,"['Waylay', 'Sage', 'Clove', 'Breach', 'Chamber']",141.133,1,0,3,10,2
fd775fc7-4425-41d4-b401-2c48d500589f,Aaronnn17,Corrode,Unrated,Chamber,Centinela,31,2,12,14,"['Chiste sad002', 'FabriceFeat', 'Axyela2508', 'ewwkris']",Unrated,,"['Neon', 'Chamber', 'Omen', 'Deadlock', 'Skye']",373.391,9,1,4,13,10
1910a185-4da5-421d-9458-d215b41ae5ec,Aaronnn17,Split,Competitive,Skye,Iniciador,31,12,18,14,"['Alexxx2291', 'Hanoï', 'SkiZe', 'Tirent']",Platinum,1,"['Killjoy', 'Skye', 'Reyna', 'Iso', 'Miks']",310.607,4,3,0,14,14
816870a4-a03f-4375-aefe-a594b3efdf97,Aaronnn17,Pearl,Competitive,Phoenix,Duelista,12,3,15,7,"['Alexxx2291', 'telman1234q3', 'Ambilieu', 'Zedkikuko']",Platinum,1,"['Phoenix', 'Clove', 'Neon', 'KAY/O', 'Chamber']",194.111,1,3,0,5,13
30334f0a-ab00-44eb-a0f7-bc9a579e45da,Aaronnn17,Lotus,Competitive,Phoenix,Duelista,22,6,11,12,"['FUT Gaëlle', 'Bapt', 'LE COUP DE POUCE', 'Alexxx2291']",Gold,3,"['Phoenix', 'Miks', 'Chamber', 'Sova', 'Cypher']",341.000,5,0,1,13,6
d1f19aea-3a52-4d1a-b5e4-df1db5409751,Aaronnn17,Bind,Competitive,Brimstone,Controlador,8,10,10,3,"['スポンジ', 'NanoXufas69', 'Alexxx2291', 'KinkyBwoy']",Gold,3,"['Jett', 'Reyna', 'Skye', 'Brimstone', 'Chamber']",156.611,1,0,2,13,5
d077d941-eaf0-4904-b35f-005fb0490ac0,Aaronnn17,Split,Competitive,Raze,Duelista,14,8,11,3,"['YuZaR', 'Alexxx2291', 'AmazingRenaud', 'JeSuisLeLaitier']",Gold,3,"['Fade', 'Killjoy', 'Raze', 'Miks', 'Skye']",244.167,3,0,3,13,5
