id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
6887a0ef-25d5-4a5e-b98a-e1aa5be29e21,MIBR ASPAS,Lotus,Competitive,Reyna,Duelista,15,10,19,13,"['Qantum', 'L0V3 diazzXdd', 'nik', 'LeiiNadd8']",Diamond,3,"['Chamber', 'Gekko', 'Neon', 'Miks', 'Reyna']",182.321,4,3,1,15,13,,
ab8fb01d-d149-400e-bcb7-b2e25c8ee7fd,MIBR ASPAS,Ascent,Competitive,Jett,Duelista,18,3,18,11,"['Bino Rebolante', 'Zynax', 'PREDA', 'nik']",Diamond,3,"['Brimstone', 'Sova', 'Chamber', 'Phoenix', 'Jett']",272.4,5,3,0,7,13,,
c7ec53aa-c5f3-458c-b7a4-87af16e75356,MIBR ASPAS,Pearl,Competitive,Jett,Duelista,12,6,19,8,"['2IDK', 'Bxias', 'SaD', 'Susesi']",Diamond,3,"['Skye', 'Chamber', 'Miks', 'Reyna', 'Jett']",181.136,7,6,1,13,9,,
5f00af97-baf3-421d-87f3-05b669df570d,MIBR ASPAS,Fracture,Competitive,Jett,Duelista,9,2,9,6,"['O b a n a i', '18aguila', 'Fainator', 'AlmostInside']",Diamond,3,"['KAY/O', 'Jett', 'Chamber', 'Raze', 'Omen']",181.867,3,0,0,2,7,1781300758.0,"Friday, June 12, 2026 09:45 PM"
c5e18656-bbfb-4fba-8a1c-5064983953e6,MIBR ASPAS,Pearl,Competitive,Chamber,Centinela,19,6,12,11,"['ΚAI', 'dumbo', 'bl3ssed', 'kruasanch1k']",Diamond,3,"['Chamber', 'Waylay', 'Jett', 'Clove', 'Phoenix']",271.9,4,1,1,13,7,1781411805.0,"Sunday, June 14, 2026 04:36 AM"
aab7dd37-d979-435f-ac38-37f3d0a3b010,MIBR ASPAS,Lotus,Competitive,Reyna,Duelista,22,5,17,19,"['lipin7b', 'ΚAI', 'lpdo7', 'ImTheAngel']",Diamond,3,"['Clove', 'Chamber', 'Skye', 'Jett', 'Reyna']",278.565,5,1,0,10,13,1781454743.0,"Sunday, June 14, 2026 04:32 PM"
ac6a614c-0016-484d-9422-9c30663210d2,MIBR ASPAS,Ascent,Competitive,Jett,Duelista,11,1,15,8,"['Bai Long', 'Empanadilla', 'lipin7b', 'ΚAI']",Diamond,3,"['Clove', 'Sage', 'Sova', 'Chamber', 'Jett']",197.176,2,4,0,4,13,1781452674.0,"Sunday, June 14, 2026 03:57 PM"
df187d36-e337-4883-a88d-1a3a9d6aff42,MIBR ASPAS,Pearl,Competitive,Jett,Duelista,13,6,15,7,"['p h y x', 'killersmoker', 'KFS4 callote', 'Jeffrey E']",Diamond,3,"['Neon', 'Jett', 'Fade', 'Omen', 'Cypher']",221.833,1,0,0,5,13,1781450329.0,"Sunday, June 14, 2026 03:18 PM"
28ee867e-2e05-4733-85af-b868213779a8,MIBR ASPAS,Lotus,Competitive,Reyna,Duelista,21,8,17,18,"['p h y x', 'KFS4 callote', 'killersmoker', 'Jeffrey E']",Diamond,3,"['Raze', 'Omen', 'Reyna', 'Breach', 'Sage']",281.0,3,0,1,13,9,1781447799.0,"Sunday, June 14, 2026 02:36 PM"
18612531-b010-47bd-8db9-69e520857776,MIBR ASPAS,Haven,Competitive,Waylay,Duelista,16,5,21,11,"['lipin7b', 'ΚAI', 'lpdo7', 'nik']",Diamond,3,"['Miks', 'Jett', 'Waylay', 'Veto', 'Sova']",195.913,6,2,1,13,10,1781459950.0,"Sunday, June 14, 2026 05:59 PM"
50e1e1df-7d50-44e3-8a7e-1f4a2fcc44ce,MIBR ASPAS,Breeze,Competitive,Waylay,Duelista,16,8,17,13,"['ΚAI', 'lpdo7', 'lipin7b', 'nik']",Diamond,3,"['Sage', 'Waylay', 'Clove', 'KAY/O', 'Neon']",210.625,5,1,2,13,11,1781457498.0,"Sunday, June 14, 2026 05:18 PM"
