id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
ab8fb01d-d149-400e-bcb7-b2e25c8ee7fd,PREDA,Ascent,Competitive,Chamber,Centinela,13,2,15,6,"['Bino Rebolante', 'Zynax', 'nik', 'MIBR ASPAS']",Diamond,3.0,"['Brimstone', 'Sova', 'Chamber', 'Phoenix', 'Jett']",186.55,1,0,0,7,13,,
8a08045c-41d4-4e1a-aebc-059bd791cb45,PREDA,Ascent,Competitive,Chamber,Centinela,15,2,14,9,"['Cατα', 'THN DANONINO', 'Aim Enjoyerツ', 'ssssss']",Diamond,3.0,"['Sage', 'Chamber', 'Omen', 'Sova', 'Jett']",186.273,1,1,1,13,9,,
3839b5be-7d37-45e5-aecb-36864c969d47,PREDA,Haven,Competitive,Reyna,Duelista,20,4,15,13,"['bikiniBottomfrag', 'Stark', 'Farmangar', 'cherche egirl']",Diamond,3.0,"['Reyna', 'Jett', 'Sova', 'Chamber', 'Clove']",264.857,3,0,2,13,8,,
f53ab275-f2c5-44c1-b886-bc5ba13ea350,PREDA,Lotus,Competitive,Neon,Duelista,14,9,20,6,"['dragaomts', 'lima', 'NRG Opy', 'katsa']",Diamond,3.0,"['Reyna', 'Neon', 'Omen', 'Vyse', 'Fade']",174.846,4,2,0,12,14,,
23631cb0-fd7b-4887-809e-d4bd4163f7a6,PREDA,Breeze,Competitive,Reyna,Duelista,22,2,17,13,"['Ashx', '0 AIM', 'EN1GM4', 'NRG Opy']",Diamond,3.0,"['Reyna', 'Tejo', 'Chamber', 'Jett', 'Viper']",262.435,3,2,1,13,10,,
5596dd4a-2027-4957-9a4b-29fe63efa003,PREDA,Split,Competitive,Reyna,Duelista,22,3,17,19,"['Stepsister', 'dArk', 'simiotactico', 'OPYfps']",Diamond,3.0,"['Reyna', 'Sage', 'Jett', 'Skye', 'Clove']",301.045,4,1,0,9,13,1781294571.0,"Friday, June 12, 2026 08:02 PM"
d0212736-b037-429f-95af-0605f0363f42,PREDA,Skirmish A,Custom Game,Phoenix,Duelista,10,3,9,0,['OPYfps'],Unrated,,"['Jett', 'Phoenix']",163.846,5,3,1,10,3,1781294122.0,"Friday, June 12, 2026 07:55 PM"
a154bdd2-0eb0-4b8d-b1da-982487e0c795,PREDA,Pearl,Competitive,Chamber,Centinela,6,4,11,2,"['rom3ro', 'iuli', 'Lotus', 'OPYfps']",Diamond,3.0,"['Killjoy', 'Jett', 'Sova', 'Clove', 'Chamber']",132.429,0,2,0,1,11,1781292428.0,"Friday, June 12, 2026 07:27 PM"
c99b6c99-02fd-4cb1-8fd5-67dad6689622,PREDA,Breeze,Competitive,Chamber,Centinela,14,7,19,8,"['ELMESÍAS9002', 'MIBR sacy', 'Sad 純', 'OPYfps']",Diamond,3.0,"['Reyna', 'Jett', 'Sova', 'Harbor', 'Chamber']",168.5,2,3,1,13,11,1781289914.0,"Friday, June 12, 2026 06:45 PM"
4708da8b-9816-446a-a17e-741405878925,PREDA,Pearl,Competitive,Chamber,Centinela,20,6,14,13,"['shadowserx', 'Guiiito', 'Its Aiden', 'Piuadowski']",Diamond,3.0,"['Jett', 'Killjoy', 'Fade', 'Miks', 'Chamber']",255.381,0,1,2,13,8,1781287294.0,"Friday, June 12, 2026 06:01 PM"
