id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
15753874-5a8e-479b-bab7-0680d5500ff8,Hihihihihihi,Breeze,Competitive,Jett,Duelista,11,2,15,8,"['Vasileos Hurïs', 'chesterstone745', 'Ichi', 'Alexlz']",Immortal,1.0,"['Veto', 'Jett', 'Harbor', 'Sova', 'Viper']",159.05,4,5,0,7,13,,
5eecc32c-0e54-4325-bd2b-7d455518f080,Hihihihihihi,Breeze,Competitive,Reyna,Duelista,22,6,18,22,"['TheYellowFlash', 'Alexlz', 'Temple', '0 fitna']",Immortal,1.0,"['Jett', 'Reyna', 'Chamber', 'Sova', 'Viper']",262.208,4,4,1,13,11,,
a9c41f68-4797-4881-bb92-07b6d8db2208,Hihihihihihi,Split,Competitive,Phoenix,Duelista,26,5,19,22,"['Alexlz', 'bak3d', 'ExquisiteAnt8211', 'OP dog']",Immortal,1.0,"['Phoenix', 'Jett', 'Chamber', 'Clove', 'Gekko']",321.667,2,4,0,11,13,,
eafc43e5-fe9d-4648-b381-ece28e93e846,Hihihihihihi,Split,Competitive,Clove,Controlador,24,9,25,21,"['Fredrik', 'Tyndskid', 'renji', 'Powell']",Immortal,1.0,"['Jett', 'Sage', 'Breach', 'Phoenix', 'Clove']",320.667,3,1,0,11,13,,
57210cd7-a7f4-4a0f-bc38-e439b50962b2,Hihihihihihi,Split,Competitive,Clove,Controlador,26,15,13,15,"['svetovit', 'Powell', 'Hijo', 'Nadezy']",Immortal,1.0,"['Skye', 'Jett', 'Clove', 'Reyna', 'Vyse']",407.333,1,1,1,13,5,,
10dd3bd3-d668-4694-8b42-41193bf6a745,Hihihihihihi,Haven,Competitive,Clove,Controlador,31,4,11,24,"['想成为三角洲糕手', 'High ego Low elo', 'NEXO', '我明白了']",Ascendant,3.0,"['Killjoy', 'Skye', 'Phoenix', 'Clove', 'Jett']",483.941,4,1,1,13,4,1781247790.0,"Friday, June 12, 2026 07:03 AM"
3142f147-4504-43dd-9f91-60c27cf54faf,Hihihihihihi,Split,Competitive,Clove,Controlador,16,3,20,15,"['bot xd lol', 'Alexlz', 'TipiYonnnn', 'ana']",Immortal,1.0,"['Jett', 'Clove', 'Chamber', 'Reyna', 'Skye']",213.905,1,1,0,8,13,1781245791.0,"Friday, June 12, 2026 06:29 AM"
926cd0c3-078e-4ace-ad37-a69dc2200ac7,Hihihihihihi,Haven,Competitive,Clove,Controlador,28,9,18,24,"['docsis enjoyer', 'antoxik', 'Alexlz', 'FaKe minerus']",Immortal,1.0,"['Sova', 'Killjoy', 'Jett', 'Clove', 'Phoenix']",378.727,2,1,0,9,13,1781243608.0,"Friday, June 12, 2026 05:53 AM"
9257dcfe-61ef-4844-9441-6d95fc294642,Hihihihihihi,Breeze,Competitive,Clove,Controlador,20,7,21,17,"['Nocturna', 'Powell', 'fedeeX', 'Y6N']",Ascendant,3.0,"['Clove', 'Raze', 'Chamber', 'Reyna', 'Sova']",277.727,5,3,0,9,13,1781308073.0,"Friday, June 12, 2026 11:47 PM"
7c628c2c-d1a0-49c0-a678-5d3a47ecae48,Hihihihihihi,Ascent,Competitive,Clove,Controlador,12,6,17,8,"['En Passant', 'seoul', 'Delulu', 'Powell']",Ascendant,3.0,"['Vyse', 'Sova', 'Jett', 'Clove', 'Phoenix']",210.056,2,3,0,5,13,1781314834.0,"Saturday, June 13, 2026 01:40 AM"
3f2b084d-3b8f-497a-89e2-ae0b45665805,Hihihihihihi,Ascent,Competitive,Clove,Controlador,19,12,18,11,"['Powell', 'Orihime inoue', 'kancela', 'Ardaaa']",Ascendant,3.0,"['Phoenix', 'Clove', 'Chamber', 'Reyna', 'Jett']",247.682,3,1,1,13,9,1781312642.0,"Saturday, June 13, 2026 01:04 AM"
